Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
QuickSort,100,NearlySorted,0.041,3151,true
MergeSort,100,NearlySorted,0.248,504,true
StringQuickSort,100,NearlySorted,0.009,895,true
StringMergeSort,100,NearlySorted,0.241,504,true
MSDRadixSort,100,NearlySorted,0.081,179,true
MSDRadixSortWithQuickSort,100,NearlySorted,0.029,159,true
QuickSort,100,PrefixBased,0.025,1859,true
MergeSort,100,PrefixBased,0.260,1807,true
StringQuickSort,100,PrefixBased,0.009,895,true
StringMergeSort,100,PrefixBased,0.182,1807,true
MSDRadixSort,100,PrefixBased,0.179,612,true
MSDRadixSortWithQuickSort,100,PrefixBased,0.031,718,true
QuickSort,100,Random,0.022,660,true
MergeSort,100,Random,0.225,605,true
StringQuickSort,100,Random,0.007,571,true
StringMergeSort,100,Random,0.216,605,true
MSDRadixSort,100,Random,0.071,171,true
MSDRadixSortWithQuickSort,100,Random,0.031,161,true
QuickSort,100,ReverseSorted,0.040,5013,true
MergeSort,100,ReverseSorted,0.210,363,true
StringQuickSort,100,ReverseSorted,0.014,3316,true
StringMergeSort,100,ReverseSorted,0.180,363,true
MSDRadixSort,100,ReverseSorted,0.062,173,true
MSDRadixSortWithQuickSort,100,ReverseSorted,0.025,163,true
QuickSort,200,NearlySorted,0.051,4914,true
MergeSort,200,NearlySorted,0.392,1303,true
StringQuickSort,200,NearlySorted,0.015,1914,true
StringMergeSort,200,NearlySorted,0.350,1303,true
MSDRadixSort,200,NearlySorted,0.080,392,true
MSDRadixSortWithQuickSort,200,NearlySorted,0.027,418,true
QuickSort,200,PrefixBased,0.034,4312,true
MergeSort,200,PrefixBased,0.246,3747,true
StringQuickSort,200,PrefixBased,0.026,2178,true
StringMergeSort,200,PrefixBased,0.292,3747,true
MSDRadixSort,200,PrefixBased,0.264,1218,true
MSDRadixSortWithQuickSort,200,PrefixBased,0.044,1419,true
QuickSort,200,Random,0.032,1762,true
MergeSort,200,Random,0.337,1481,true
StringQuickSort,200,Random,0.011,1643,true
StringMergeSort,200,Random,0.302,1481,true
MSDRadixSort,200,Random,0.102,393,true
MSDRadixSortWithQuickSort,200,Random,0.040,383,true
QuickSort,200,ReverseSorted,0.083,20176,true
MergeSort,200,ReverseSorted,0.312,909,true
StringQuickSort,200,ReverseSorted,0.022,7290,true
StringMergeSort,200,ReverseSorted,0.311,909,true
MSDRadixSort,200,ReverseSorted,0.107,395,true
MSDRadixSortWithQuickSort,200,ReverseSorted,0.040,474,true
QuickSort,300,NearlySorted,0.053,8075,true
MergeSort,300,NearlySorted,0.406,2245,true
StringQuickSort,300,NearlySorted,0.016,3909,true
StringMergeSort,300,NearlySorted,0.427,2245,true
MSDRadixSort,300,NearlySorted,0.122,616,true
MSDRadixSortWithQuickSort,300,NearlySorted,0.068,740,true
QuickSort,300,PrefixBased,0.042,6339,true
MergeSort,300,PrefixBased,0.383,5841,true
StringQuickSort,300,PrefixBased,0.020,3153,true
StringMergeSort,300,PrefixBased,0.373,5841,true
MSDRadixSort,300,PrefixBased,0.279,1847,true
MSDRadixSortWithQuickSort,300,PrefixBased,0.048,2200,true
QuickSort,300,Random,0.035,3231,true
MergeSort,300,Random,0.401,2532,true
StringQuickSort,300,Random,0.015,2560,true
StringMergeSort,300,Random,0.393,2532,true
MSDRadixSort,300,Random,0.136,605,true
MSDRadixSortWithQuickSort,300,Random,0.054,722,true
QuickSort,300,ReverseSorted,0.134,45481,true
MergeSort,300,ReverseSorted,0.376,1537,true
StringQuickSort,300,ReverseSorted,0.026,11219,true
StringMergeSort,300,ReverseSorted,0.377,1537,true
MSDRadixSort,300,ReverseSorted,0.115,613,true
MSDRadixSortWithQuickSort,300,ReverseSorted,0.044,910,true
QuickSort,400,NearlySorted,0.057,12146,true
MergeSort,400,NearlySorted,0.485,3236,true
StringQuickSort,400,NearlySorted,0.022,7477,true
StringMergeSort,400,NearlySorted,0.453,3236,true
MSDRadixSort,400,NearlySorted,0.128,826,true
MSDRadixSortWithQuickSort,400,NearlySorted,0.049,1152,true
QuickSort,400,PrefixBased,0.047,8750,true
MergeSort,400,PrefixBased,0.426,8017,true
StringQuickSort,400,PrefixBased,0.024,4780,true
StringMergeSort,400,PrefixBased,0.389,8017,true
MSDRadixSort,400,PrefixBased,0.306,2451,true
MSDRadixSortWithQuickSort,400,PrefixBased,0.052,2928,true
QuickSort,400,Random,0.046,3895,true
MergeSort,400,Random,0.494,3647,true
StringQuickSort,400,Random,0.023,3012,true
StringMergeSort,400,Random,0.460,3647,true
MSDRadixSort,400,Random,0.139,809,true
MSDRadixSortWithQuickSort,400,Random,0.057,1075,true
QuickSort,400,ReverseSorted,0.179,80884,true
MergeSort,400,ReverseSorted,0.417,2175,true
StringQuickSort,400,ReverseSorted,0.028,15484,true
StringMergeSort,400,ReverseSorted,0.418,2175,true
MSDRadixSort,400,ReverseSorted,0.125,816,true
MSDRadixSortWithQuickSort,400,ReverseSorted,0.053,1454,true
QuickSort,500,NearlySorted,0.078,18568,true
MergeSort,500,NearlySorted,0.528,4086,true
StringQuickSort,500,NearlySorted,0.023,8326,true
StringMergeSort,500,NearlySorted,0.505,4086,true
MSDRadixSort,500,NearlySorted,0.128,1042,true
MSDRadixSortWithQuickSort,500,NearlySorted,0.052,1590,true
QuickSort,500,PrefixBased,0.054,11234,true
MergeSort,500,PrefixBased,0.487,10186,true
StringQuickSort,500,PrefixBased,0.027,5505,true
StringMergeSort,500,PrefixBased,0.476,10186,true
MSDRadixSort,500,PrefixBased,0.372,3063,true
MSDRadixSortWithQuickSort,500,PrefixBased,0.068,3725,true
QuickSort,500,Random,0.052,6032,true
MergeSort,500,Random,0.553,4850,true
StringQuickSort,500,Random,0.023,4804,true
StringMergeSort,500,Random,0.566,4850,true
MSDRadixSort,500,Random,0.149,1040,true
MSDRadixSortWithQuickSort,500,Random,0.069,1522,true
QuickSort,500,ReverseSorted,0.255,126394,true
MergeSort,500,ReverseSorted,0.505,2997,true
StringQuickSort,500,ReverseSorted,0.050,20855,true
StringMergeSort,500,ReverseSorted,0.520,2997,true
MSDRadixSort,500,ReverseSorted,0.155,1044,true
MSDRadixSortWithQuickSort,500,ReverseSorted,0.066,2067,true
QuickSort,600,NearlySorted,0.105,33775,true
MergeSort,600,NearlySorted,0.651,5547,true
StringQuickSort,600,NearlySorted,0.031,11000,true
StringMergeSort,600,NearlySorted,0.663,5547,true
MSDRadixSort,600,NearlySorted,0.174,1259,true
MSDRadixSortWithQuickSort,600,NearlySorted,0.070,2057,true
QuickSort,600,PrefixBased,0.067,13661,true
MergeSort,600,PrefixBased,0.600,12306,true
StringQuickSort,600,PrefixBased,0.035,7052,true
StringMergeSort,600,PrefixBased,0.620,12306,true
MSDRadixSort,600,PrefixBased,0.461,3679,true
MSDRadixSortWithQuickSort,600,PrefixBased,0.081,4426,true
QuickSort,600,Random,0.066,6783,true
MergeSort,600,Random,0.664,6089,true
StringQuickSort,600,Random,0.030,5616,true
StringMergeSort,600,Random,0.632,6089,true
MSDRadixSort,600,Random,0.197,1257,true
MSDRadixSortWithQuickSort,600,Random,0.082,1890,true
QuickSort,600,ReverseSorted,0.357,182175,true
MergeSort,600,ReverseSorted,0.616,3635,true
StringQuickSort,600,ReverseSorted,0.041,23546,true
StringMergeSort,600,ReverseSorted,0.650,3635,true
MSDRadixSort,600,ReverseSorted,0.183,1260,true
MSDRadixSortWithQuickSort,600,ReverseSorted,0.077,2944,true
QuickSort,700,NearlySorted,0.096,25151,true
MergeSort,700,NearlySorted,0.753,6799,true
StringQuickSort,700,NearlySorted,0.040,16571,true
StringMergeSort,700,NearlySorted,0.727,6799,true
MSDRadixSort,700,NearlySorted,0.178,1474,true
MSDRadixSortWithQuickSort,700,NearlySorted,0.077,2573,true
QuickSort,700,PrefixBased,0.079,16100,true
MergeSort,700,PrefixBased,0.739,14562,true
StringQuickSort,700,PrefixBased,0.042,8077,true
StringMergeSort,700,PrefixBased,0.696,14562,true
MSDRadixSort,700,PrefixBased,0.490,4301,true
MSDRadixSortWithQuickSort,700,PrefixBased,0.089,5285,true
QuickSort,700,Random,0.075,8443,true
MergeSort,700,Random,0.841,7419,true
StringQuickSort,700,Random,0.033,6593,true
StringMergeSort,700,Random,0.750,7419,true
MSDRadixSort,700,Random,0.209,1492,true
MSDRadixSortWithQuickSort,700,Random,0.105,2436,true
QuickSort,700,ReverseSorted,0.500,247990,true
MergeSort,700,ReverseSorted,0.722,4343,true
StringQuickSort,700,ReverseSorted,0.049,28802,true
StringMergeSort,700,ReverseSorted,0.726,4343,true
MSDRadixSort,700,ReverseSorted,0.203,1479,true
MSDRadixSortWithQuickSort,700,ReverseSorted,0.090,3843,true
QuickSort,800,NearlySorted,0.101,21231,true
MergeSort,800,NearlySorted,0.820,7969,true
StringQuickSort,800,NearlySorted,0.043,17059,true
StringMergeSort,800,NearlySorted,0.816,7969,true
MSDRadixSort,800,NearlySorted,0.200,1707,true
MSDRadixSortWithQuickSort,800,NearlySorted,0.088,3171,true
QuickSort,800,PrefixBased,0.094,19628,true
MergeSort,800,PrefixBased,0.855,16952,true
StringQuickSort,800,PrefixBased,0.064,10121,true
StringMergeSort,800,PrefixBased,0.774,16952,true
MSDRadixSort,800,PrefixBased,0.556,4914,true
MSDRadixSortWithQuickSort,800,PrefixBased,0.102,5984,true
QuickSort,800,Random,0.093,11756,true
MergeSort,800,Random,0.917,8754,true
StringQuickSort,800,Random,0.041,7535,true
StringMergeSort,800,Random,0.942,8754,true
MSDRadixSort,800,Random,0.236,1705,true
MSDRadixSortWithQuickSort,800,Random,0.116,2818,true
QuickSort,800,ReverseSorted,0.610,323869,true
MergeSort,800,ReverseSorted,0.887,5184,true
StringQuickSort,800,ReverseSorted,0.056,32595,true
StringMergeSort,800,ReverseSorted,0.827,5184,true
MSDRadixSort,800,ReverseSorted,0.242,1699,true
MSDRadixSortWithQuickSort,800,ReverseSorted,0.108,4805,true
QuickSort,900,NearlySorted,0.108,23355,true
MergeSort,900,NearlySorted,0.930,8826,true
StringQuickSort,900,NearlySorted,0.044,17727,true
StringMergeSort,900,NearlySorted,1.035,8826,true
MSDRadixSort,900,NearlySorted,0.233,1940,true
MSDRadixSortWithQuickSort,900,NearlySorted,0.099,3703,true
QuickSort,900,PrefixBased,0.106,22069,true
MergeSort,900,PrefixBased,0.872,19365,true
StringQuickSort,900,PrefixBased,0.054,11034,true
StringMergeSort,900,PrefixBased,0.978,19365,true
MSDRadixSort,900,PrefixBased,0.630,5514,true
MSDRadixSortWithQuickSort,900,PrefixBased,0.119,6912,true
QuickSort,900,Random,0.103,11827,true
MergeSort,900,Random,1.006,10213,true
StringQuickSort,900,Random,0.052,7856,true
StringMergeSort,900,Random,0.994,10213,true
MSDRadixSort,900,Random,0.267,1955,true
MSDRadixSortWithQuickSort,900,Random,0.133,3436,true
QuickSort,900,ReverseSorted,0.766,410026,true
MergeSort,900,ReverseSorted,1.011,6048,true
StringQuickSort,900,ReverseSorted,0.063,37146,true
StringMergeSort,900,ReverseSorted,1.037,6048,true
MSDRadixSort,900,ReverseSorted,0.277,1936,true
MSDRadixSortWithQuickSort,900,ReverseSorted,0.121,5961,true
QuickSort,1000,NearlySorted,0.124,31051,true
MergeSort,1000,NearlySorted,1.051,10097,true
StringQuickSort,1000,NearlySorted,0.062,25935,true
StringMergeSort,1000,NearlySorted,1.089,10097,true
MSDRadixSort,1000,NearlySorted,0.254,2200,true
MSDRadixSortWithQuickSort,1000,NearlySorted,0.116,4435,true
QuickSort,1000,PrefixBased,0.121,24639,true
MergeSort,1000,PrefixBased,1.017,21802,true
StringQuickSort,1000,PrefixBased,0.061,12310,true
StringMergeSort,1000,PrefixBased,1.021,21802,true
MSDRadixSort,1000,PrefixBased,0.704,6105,true
MSDRadixSortWithQuickSort,1000,PrefixBased,0.128,7681,true
QuickSort,1000,Random,0.115,14382,true
MergeSort,1000,Random,1.117,11571,true
StringQuickSort,1000,Random,0.059,9154,true
StringMergeSort,1000,Random,1.109,11571,true
MSDRadixSort,1000,Random,0.293,2148,true
MSDRadixSortWithQuickSort,1000,Random,0.144,4016,true
QuickSort,1000,ReverseSorted,0.938,506263,true
MergeSort,1000,ReverseSorted,1.092,7079,true
StringQuickSort,1000,ReverseSorted,0.074,41651,true
StringMergeSort,1000,ReverseSorted,1.107,7079,true
MSDRadixSort,1000,ReverseSorted,0.299,2170,true
MSDRadixSortWithQuickSort,1000,ReverseSorted,0.132,7215,true
QuickSort,1100,NearlySorted,0.142,32433,true
MergeSort,1100,NearlySorted,1.242,11737,true
StringQuickSort,1100,NearlySorted,0.072,27553,true
StringMergeSort,1100,NearlySorted,1.247,11737,true
MSDRadixSort,1100,NearlySorted,0.281,2415,true
MSDRadixSortWithQuickSort,1100,NearlySorted,0.146,4918,true
QuickSort,1100,PrefixBased,0.135,29066,true
MergeSort,1100,PrefixBased,1.251,24037,true
StringQuickSort,1100,PrefixBased,0.083,13806,true
StringMergeSort,1100,PrefixBased,1.153,24037,true
MSDRadixSort,1100,PrefixBased,0.832,6722,true
MSDRadixSortWithQuickSort,1100,PrefixBased,0.146,8385,true
QuickSort,1100,Random,0.137,15457,true
MergeSort,1100,Random,1.355,13089,true
StringQuickSort,1100,Random,0.079,10281,true
StringMergeSort,1100,Random,1.326,13089,true
MSDRadixSort,1100,Random,0.337,2410,true
MSDRadixSortWithQuickSort,1100,Random,0.164,4380,true
QuickSort,1100,ReverseSorted,1.175,612560,true
MergeSort,1100,ReverseSorted,1.279,7777,true
StringQuickSort,1100,ReverseSorted,0.080,46427,true
StringMergeSort,1100,ReverseSorted,1.179,7777,true
MSDRadixSort,1100,ReverseSorted,0.318,2384,true
MSDRadixSortWithQuickSort,1100,ReverseSorted,0.152,8592,true
QuickSort,1200,NearlySorted,0.211,60696,true
MergeSort,1200,NearlySorted,1.332,13322,true
StringQuickSort,1200,NearlySorted,0.073,23995,true
StringMergeSort,1200,NearlySorted,1.330,13322,true
MSDRadixSort,1200,NearlySorted,0.327,2650,true
MSDRadixSortWithQuickSort,1200,NearlySorted,0.156,5659,true
QuickSort,1200,PrefixBased,0.154,30602,true
MergeSort,1200,PrefixBased,1.244,26954,true
StringQuickSort,1200,PrefixBased,0.077,15008,true
StringMergeSort,1200,PrefixBased,1.298,26954,true
MSDRadixSort,1200,PrefixBased,0.851,7371,true
MSDRadixSortWithQuickSort,1200,PrefixBased,0.162,9375,true
QuickSort,1200,Random,0.146,17494,true
MergeSort,1200,Random,1.590,14549,true
StringQuickSort,1200,Random,0.066,11853,true
StringMergeSort,1200,Random,1.454,14549,true
MSDRadixSort,1200,Random,0.382,2623,true
MSDRadixSortWithQuickSort,1200,Random,0.184,5048,true
QuickSort,1200,ReverseSorted,1.451,729205,true
MergeSort,1200,ReverseSorted,1.296,8603,true
StringQuickSort,1200,ReverseSorted,0.094,50968,true
StringMergeSort,1200,ReverseSorted,1.367,8603,true
MSDRadixSort,1200,ReverseSorted,0.367,2649,true
MSDRadixSortWithQuickSort,1200,ReverseSorted,0.214,9926,true
QuickSort,1300,NearlySorted,0.168,38086,true
MergeSort,1300,NearlySorted,1.578,14389,true
StringQuickSort,1300,NearlySorted,0.071,24835,true
StringMergeSort,1300,NearlySorted,1.477,14389,true
MSDRadixSort,1300,NearlySorted,0.405,2869,true
MSDRadixSortWithQuickSort,1300,NearlySorted,0.155,6239,true
QuickSort,1300,PrefixBased,0.162,36197,true
MergeSort,1300,PrefixBased,1.355,29391,true
StringQuickSort,1300,PrefixBased,0.085,18274,true
StringMergeSort,1300,PrefixBased,1.443,29391,true
MSDRadixSort,1300,PrefixBased,0.968,8000,true
MSDRadixSortWithQuickSort,1300,PrefixBased,0.184,10230,true
QuickSort,1300,Random,0.161,19105,true
MergeSort,1300,Random,1.629,16076,true
StringQuickSort,1300,Random,0.075,11831,true
StringMergeSort,1300,Random,1.521,16076,true
MSDRadixSort,1300,Random,0.416,2881,true
MSDRadixSortWithQuickSort,1300,Random,0.209,5567,true
QuickSort,1300,ReverseSorted,1.806,855797,true
MergeSort,1300,ReverseSorted,1.463,9328,true
StringQuickSort,1300,ReverseSorted,0.117,57202,true
StringMergeSort,1300,ReverseSorted,1.493,9328,true
MSDRadixSort,1300,ReverseSorted,0.375,2852,true
MSDRadixSortWithQuickSort,1300,ReverseSorted,0.173,11658,true
QuickSort,1400,NearlySorted,0.264,66743,true
MergeSort,1400,NearlySorted,1.634,16104,true
StringQuickSort,1400,NearlySorted,0.085,29915,true
StringMergeSort,1400,NearlySorted,1.640,16104,true
MSDRadixSort,1400,NearlySorted,0.380,3063,true
MSDRadixSortWithQuickSort,1400,NearlySorted,0.185,7110,true
QuickSort,1400,PrefixBased,0.183,35234,true
MergeSort,1400,PrefixBased,1.565,31376,true
StringQuickSort,1400,PrefixBased,0.099,18129,true
StringMergeSort,1400,PrefixBased,1.503,31376,true
MSDRadixSort,1400,PrefixBased,1.068,8584,true
MSDRadixSortWithQuickSort,1400,PrefixBased,0.185,10859,true
QuickSort,1400,Random,0.169,20541,true
MergeSort,1400,Random,1.733,17510,true
StringQuickSort,1400,Random,0.081,14772,true
StringMergeSort,1400,Random,1.626,17510,true
MSDRadixSort,1400,Random,0.459,3088,true
MSDRadixSortWithQuickSort,1400,Random,0.207,6197,true
QuickSort,1400,ReverseSorted,2.106,992502,true
MergeSort,1400,ReverseSorted,1.648,10201,true
StringQuickSort,1400,ReverseSorted,0.118,61230,true
StringMergeSort,1400,ReverseSorted,1.661,10201,true
MSDRadixSort,1400,ReverseSorted,0.410,3099,true
MSDRadixSortWithQuickSort,1400,ReverseSorted,0.196,13111,true
QuickSort,1500,NearlySorted,0.208,49224,true
MergeSort,1500,NearlySorted,1.795,17288,true
StringQuickSort,1500,NearlySorted,0.118,46023,true
StringMergeSort,1500,NearlySorted,1.784,17288,true
MSDRadixSort,1500,NearlySorted,0.410,3368,true
MSDRadixSortWithQuickSort,1500,NearlySorted,0.187,7862,true
QuickSort,1500,PrefixBased,0.192,38877,true
MergeSort,1500,PrefixBased,1.667,34376,true
StringQuickSort,1500,PrefixBased,0.102,19270,true
StringMergeSort,1500,PrefixBased,1.547,34376,true
MSDRadixSort,1500,PrefixBased,1.013,9192,true
MSDRadixSortWithQuickSort,1500,PrefixBased,0.237,11770,true
QuickSort,1500,Random,0.191,24411,true
MergeSort,1500,Random,1.770,19118,true
StringQuickSort,1500,Random,0.088,17201,true
StringMergeSort,1500,Random,1.783,19118,true
MSDRadixSort,1500,Random,0.458,3391,true
MSDRadixSortWithQuickSort,1500,Random,0.229,6907,true
QuickSort,1500,ReverseSorted,2.462,1139362,true
MergeSort,1500,ReverseSorted,1.708,11298,true
StringQuickSort,1500,ReverseSorted,0.125,64784,true
StringMergeSort,1500,ReverseSorted,1.745,11298,true
MSDRadixSort,1500,ReverseSorted,0.444,3351,true
MSDRadixSortWithQuickSort,1500,ReverseSorted,0.203,14772,true
QuickSort,1600,NearlySorted,0.214,50381,true
MergeSort,1600,NearlySorted,1.894,18590,true
StringQuickSort,1600,NearlySorted,0.119,45392,true
